#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,2.984583,0.000000,0.000000,3.673833,3.052292,0.044750,10.372875
0.000000,0.000000,2.872750,0.000000,0.000000,3.855250,3.032709,0.045042,10.059709
0.000000,0.000000,2.645750,0.000000,0.000000,3.562167,2.411416,0.047917,9.985541
0.000000,0.000000,2.889625,0.000000,0.000000,3.365417,2.597459,0.048292,9.349792
0.000000,0.000000,2.882250,0.000000,0.000000,3.497584,2.638667,0.049292,9.339208
0.000000,0.000000,2.892042,0.000000,0.000000,3.360250,2.782750,0.049167,9.542584
0.000000,0.000000,2.926958,0.000000,0.000000,2.894083,2.838000,0.049584,9.587875
0.000000,0.000000,3.083625,0.000000,0.000000,3.254292,2.716209,0.049083,9.301000
0.000000,0.000000,3.107583,0.000000,0.000000,2.843250,3.159709,0.046667,9.590083
0.000000,0.000000,2.778875,0.000000,0.000000,2.825083,2.247375,0.049208,9.224500
0.000000,0.000000,2.881417,0.000000,0.000000,3.274292,2.666792,0.050791,8.448166
0.000000,0.000000,2.924917,0.000000,0.000000,3.119333,2.486167,0.049417,9.360667
0.000000,0.000000,3.125000,0.000000,0.000000,3.118917,2.215833,0.049209,9.218125
0.000000,0.000000,3.098458,0.000000,0.000000,2.787208,3.126833,0.049042,8.873833
0.000000,0.000000,3.140583,0.000000,0.000000,2.940042,2.466709,0.049292,9.555042
0.000000,0.000000,3.047041,0.000000,0.000000,3.474084,2.810541,0.048583,8.938959
0.000000,0.000000,2.975000,0.000000,0.000000,3.110375,2.506833,0.050458,9.769125
0.000000,0.000000,3.052125,0.000000,0.000000,2.626416,2.453125,0.048958,9.172375
0.000000,0.000000,3.344833,0.000000,0.000000,2.790167,2.643417,0.053416,8.947000
0.000000,0.000000,3.082875,0.000000,0.000000,2.677417,2.987625,0.048500,9.041083
0.000000,0.000000,2.955917,0.000000,0.000000,2.717583,2.463834,0.056167,9.104667
0.000000,0.000000,3.386000,0.000000,0.000000,2.854250,2.695083,0.049084,9.067167
0.000000,0.000000,3.171333,0.000000,0.000000,2.913042,2.537334,0.048416,9.169542
0.000000,0.000000,3.163459,0.000000,0.000000,3.112791,2.530834,0.048500,9.118375
0.000000,0.000000,3.263750,0.000000,0.000000,2.779583,2.338500,0.049000,9.370250
0.000000,0.000000,2.989750,0.000000,0.000000,2.741708,2.697958,0.053667,8.626250
0.000000,0.000000,3.447792,0.000000,0.000000,2.843833,2.533666,0.053333,9.413667
0.000000,0.000000,3.193958,0.000000,0.000000,2.539833,2.518750,0.055500,9.086459
0.000000,0.000000,3.306167,0.000000,0.000000,2.516875,3.130209,0.053417,8.879667
0.000000,0.000000,3.226292,0.000000,0.000000,2.530250,2.675750,0.053208,9.341667
0.000000,0.000000,3.170916,0.000000,0.000000,2.587625,2.580625,0.053375,8.905250
0.000000,0.000000,3.329875,0.000000,0.000000,2.666000,2.516959,0.053125,9.030000
0.000000,0.000000,3.234042,0.000000,0.000000,2.845459,2.968166,0.053209,8.941500
0.000000,0.000000,3.362166,0.000000,0.000000,2.576250,2.652167,0.053250,9.713708
0.000000,0.000000,3.407583,0.000000,0.000000,3.101958,2.798333,0.053583,9.097750
0.000000,0.000000,3.322000,0.000000,0.000000,2.926042,2.655584,0.053917,9.732291
0.000000,0.000000,3.348166,0.000000,0.000000,2.796125,3.270333,0.053625,9.451334
0.000000,0.000000,3.321625,0.000000,0.000000,2.760916,2.771833,0.054084,9.892875
0.000000,0.000000,3.276666,0.000000,0.000000,2.606250,2.860542,0.048916,9.311667
0.000000,0.000000,3.112333,0.000000,0.000000,2.790375,2.489584,0.053958,9.070167
0.000000,0.000000,3.349000,0.000000,0.000000,2.859708,2.377292,0.049334,9.152375
