#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.785958,0.228583,11.897250,2.162042,2.162042,63.625875
4.949792,0.217625,12.081541,2.842291,2.842291,70.327708
5.172791,0.209209,11.936583,3.513541,3.513541,83.840708
5.210709,0.198291,12.357334,4.715292,4.715292,89.456917
5.412250,0.205667,12.496125,6.205000,6.205000,109.257000
5.494958,0.284917,20.041167,12.239708,12.239708,161.852333
6.766292,0.252541,27.431959,9.770167,9.770167,206.580208
7.871875,0.246667,20.014000,11.446417,11.446417,169.962959
7.210542,0.157000,18.414041,9.577750,9.577750,156.321917
6.835083,0.124292,15.841125,9.627458,9.627458,168.157750
6.694833,0.146042,17.230000,10.857208,10.857208,165.571666
6.326084,0.150166,17.605125,10.206875,10.206875,168.197334
5.783917,0.137166,17.612125,10.758042,10.758042,162.655292
5.353208,0.154584,15.813125,10.730667,10.730667,160.744125
5.494417,0.164708,16.028958,10.480375,10.480375,151.734625
5.533709,0.146791,17.055584,9.172875,9.172875,146.143167
5.698292,0.149417,16.965083,7.005042,7.005042,131.134292
5.518250,0.164292,17.361917,8.668917,8.668917,153.002417
5.322333,0.170375,16.066583,7.130166,7.130166,147.119708
5.666792,0.182042,16.123541,7.702750,7.702750,149.233625
5.932500,0.181792,17.327292,9.746584,9.746584,156.864209
5.760167,0.194958,16.494417,9.613875,9.613875,160.806250
5.866875,0.188333,16.273542,8.098291,8.098291,152.156625
5.936584,0.201916,16.793792,11.055083,11.055083,162.200292
5.724834,0.195166,16.355084,10.680209,10.680209,158.176625
5.585125,0.193125,21.122792,10.545875,10.545875,165.929875
5.762459,0.183666,15.851125,10.314083,10.314083,184.519334
5.900667,0.203083,21.162417,11.913125,11.913125,201.049792
6.580541,0.179084,23.292500,12.870667,12.870667,202.246000
6.943292,0.192666,25.479250,11.201334,11.201334,211.929875
7.310250,0.180125,24.124208,11.158958,11.158958,205.156333
7.648958,0.194958,24.550250,11.511708,11.511708,198.431458
8.715459,0.206000,24.122958,11.203042,11.203042,205.689334
8.994584,0.183666,23.592709,10.441708,10.441708,197.271417
9.289083,0.225834,23.972416,11.218333,11.218333,198.890750
8.508042,0.243833,23.650959,11.988041,11.988041,213.558709
6.426708,0.236084,24.501625,10.829959,10.829959,195.310917
6.617334,0.251458,20.090875,12.050167,12.050167,177.627625
6.709875,0.203875,20.513250,11.610416,11.610416,154.619166
6.651208,0.194750,18.790375,11.216875,11.216875,158.300750
7.159333,0.186917,19.554292,11.530792,11.530792,162.973917
7.184916,0.174584,19.922833,12.424375,12.424375,165.088458
7.677333,0.182833,20.630875,16.687916,16.687916,180.611833
7.380750,0.176250,19.946917,17.803167,17.803167,194.713292
7.762959,0.175625,20.061416,15.942500,15.942500,211.094375
7.860333,0.176000,20.549209,14.773375,14.773375,207.374625
8.163500,0.166375,21.890250,17.614209,17.614209,236.651583
7.879833,0.160042,19.613958,21.035542,21.035542,237.465667
7.113209,0.132250,17.745750,20.269042,20.269042,285.381667
7.862792,0.142500,18.948417,25.010500,25.010500,340.436417
10.284750,0.176500,28.373500,26.832041,26.832041,413.972500
