#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.024750,0.209084,12.387875,2.050083,2.050083,59.325250
5.185125,0.200333,12.752000,2.565959,2.565959,65.939458
5.266667,0.198250,12.124333,2.939750,2.939750,80.271917
5.231792,0.184000,12.067833,5.434625,5.434625,94.650875
5.597041,0.163459,14.063791,6.857791,6.857791,118.043083
5.824125,0.169375,15.362500,7.907958,7.907958,141.868750
6.426208,0.174792,16.470916,9.485125,9.485125,167.035375
6.531709,0.149458,17.728208,9.493375,9.493375,164.422875
7.379583,0.165083,19.128875,9.871250,9.871250,185.583708
5.472833,0.245375,18.625125,10.650667,10.650667,167.735083
5.648666,0.189834,20.268208,9.028334,9.028334,171.314166
6.223625,0.200542,22.176375,9.074000,9.074000,185.709125
6.796250,0.172417,21.623375,10.047583,10.047583,192.190500
7.129542,0.149667,22.354416,10.339708,10.339708,207.016917
6.852708,0.134125,21.357250,11.448667,11.448667,224.443792
6.039417,0.116792,19.387958,11.502125,11.502125,222.233542
7.798208,0.131542,24.250291,12.793334,12.793334,234.008583
7.925500,0.116250,23.784209,13.311709,13.311709,246.486500
7.360542,0.108125,20.287083,14.103083,14.103083,247.602667
8.831333,0.126917,22.753666,14.711583,14.711583,272.688666
8.115083,0.175208,19.731792,10.694416,10.694416,178.576333
7.468583,0.116417,17.680417,11.091250,11.091250,175.759208
6.537916,0.102542,15.129667,11.556542,11.556542,172.217125
6.695709,0.176958,17.039708,11.746875,11.746875,176.098875
6.099875,0.165750,18.349709,11.527792,11.527792,183.691084
5.999625,0.167083,17.251250,11.379750,11.379750,177.374333
5.529416,0.153000,16.584042,11.006875,11.006875,170.068375
5.688708,0.173167,16.469000,11.911083,11.911083,160.049083
5.730084,0.150541,16.440292,9.362750,9.362750,151.828500
5.763375,0.145250,17.280625,8.085750,8.085750,151.860625
6.070334,0.165833,20.545708,8.074334,8.074334,175.369084
6.120875,0.181459,20.293375,8.259209,8.259209,168.194167
6.094167,0.187708,20.566375,8.496792,8.496792,169.774292
6.022834,0.172791,20.399292,8.973875,8.973875,171.730250
6.202792,0.184000,20.730666,9.873500,9.873500,165.154917
6.380541,0.183584,22.171833,10.156250,10.156250,181.230208
6.304250,0.171875,20.958125,9.852709,9.852709,166.514708
6.287959,0.187250,21.312875,10.846500,10.846500,180.473292
6.005583,0.190208,17.767209,11.531334,11.531334,180.017166
6.407041,0.212459,18.022875,12.038542,12.038542,207.301333
6.472875,0.196834,22.360666,12.197417,12.197417,209.954375
6.755584,0.190833,24.159000,12.428959,12.428959,236.823084
7.258750,0.185208,24.607417,13.075417,13.075417,223.333458
7.827084,0.182166,23.229417,12.168125,12.168125,201.248000
8.456625,0.216875,22.981333,10.560625,10.560625,210.926875
8.515084,0.198000,22.769916,10.696917,10.696917,220.259334
9.139833,0.187375,21.576833,10.422167,10.422167,210.982041
7.510500,0.243291,22.284875,11.461000,11.461000,202.512541
7.173083,0.240125,20.612292,12.464333,12.464333,217.219458
9.082250,0.244625,23.570125,15.140333,15.140333,269.572791
6.790000,0.243375,20.503042,10.967000,10.967000,171.463625
6.600041,0.171375,18.976750,11.948166,11.948166,170.622125
7.170625,0.181792,20.225666,11.930292,11.930292,177.749458
7.276291,0.184875,20.703167,12.160584,12.160584,181.120041
7.698542,0.200667,20.277333,13.836917,13.836917,191.748625
7.992292,0.171625,20.671917,15.681417,15.681417,193.004042
8.274458,0.164875,21.211917,14.917042,14.917042,202.609041
8.745708,0.177042,22.986541,16.342666,16.342666,218.375875
8.822917,0.160083,22.730917,18.659916,18.659916,228.415375
7.857459,0.133125,19.127333,21.855042,21.855042,268.310209
7.727875,0.126166,20.917125,23.202334,23.202334,339.316500
9.678708,0.141209,24.305000,24.527959,24.527959,371.152250
10.972625,0.148875,30.000916,25.796708,25.796708,376.818791
