#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.779292,0.251333,16.251417,6.830208,6.830208,148.634750
6.267958,0.259917,20.888708,11.221459,11.221459,202.918500
7.354000,0.189833,17.299209,9.160416,9.160416,156.704583
7.000917,0.158500,17.050708,8.085834,8.085834,153.868542
6.104792,0.106125,14.010583,7.715250,7.715250,134.849167
6.741291,0.170500,15.595709,8.264250,8.264250,143.879208
6.085459,0.144791,16.236792,8.344542,8.344542,148.965125
5.901542,0.136583,15.834583,8.150083,8.150083,144.793583
4.961416,0.133084,13.198708,8.102375,8.102375,137.417583
5.228500,0.144458,13.777708,8.775167,8.775167,131.142708
5.337958,0.148250,14.650125,8.471625,8.471625,132.638041
5.536500,0.189041,14.386584,8.634000,8.634000,122.435958
5.352958,0.135667,14.008333,5.780708,5.780708,124.054667
5.635458,0.150750,14.703250,4.926375,4.926375,131.065666
5.635417,0.202833,14.639209,6.504541,6.504541,130.535375
5.410208,0.157250,16.016334,6.677125,6.677125,129.691000
5.424916,0.164417,16.743125,6.101250,6.101250,131.547875
5.532833,0.160125,21.013459,7.046875,7.046875,135.915417
5.418208,0.165625,15.894917,6.815542,6.815542,130.371625
5.301042,0.184625,15.727875,6.917834,6.917834,136.119458
5.396500,0.172084,16.098208,7.177916,7.177916,145.009667
5.386709,0.199416,17.803875,8.254917,8.254917,153.190750
5.769500,0.188209,20.651958,8.959000,8.959000,171.062000
6.077958,0.202792,21.656833,9.110042,9.110042,183.703291
6.607042,0.176500,22.739583,10.008458,10.008458,187.643250
6.897875,0.163209,23.773416,9.749583,9.749583,197.929792
7.408667,0.180958,22.285083,9.457375,9.457375,184.288458
8.440750,0.205541,25.270792,10.348791,10.348791,209.208458
9.025541,0.238250,22.862542,9.593417,9.593417,196.479666
9.260458,0.187083,23.335042,9.780625,9.780625,202.838750
7.382791,0.230167,21.556750,10.280458,10.280458,198.088500
5.814250,0.259084,17.555083,10.764625,10.764625,207.983417
5.312709,0.269000,15.678875,8.507167,8.507167,134.956292
5.699916,0.255042,17.084000,7.882875,7.882875,134.146208
6.145250,0.187583,18.633459,7.999458,7.999458,144.622792
4.879625,0.127833,14.376417,9.646000,9.646000,132.869208
6.105041,0.162209,17.318875,10.252625,10.252625,134.919041
5.956000,0.187000,16.714125,10.825541,10.825541,153.178500
6.305667,0.200375,18.696250,11.098917,11.098917,177.568709
6.250666,0.160459,18.166375,11.171334,11.171334,182.700166
7.077167,0.181542,19.092250,13.887333,13.887333,189.645209
7.722792,0.203375,21.988208,13.583375,13.583375,205.014792
7.639375,0.177041,22.128667,17.605334,17.605334,248.718000
7.876875,0.199709,23.432041,18.468500,18.468500,291.340500
8.798459,0.163166,26.865292,18.649667,18.649667,318.628084
