snapshot,frame,stamp,kf_id,culled,w_kf_tx,w_kf_ty,w_kf_tz,w_kf_qx,w_kf_qy,w_kf_qz,w_kf_qw
11,332,1011.066667,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
11,332,1011.066667,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
11,332,1011.066667,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
12,362,1012.066667,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
12,362,1012.066667,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
12,362,1012.066667,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
12,362,1012.066667,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
12,362,1012.066667,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
12,362,1012.066667,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
12,362,1012.066667,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
12,362,1012.066667,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
12,362,1012.066667,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
12,362,1012.066667,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
12,362,1012.066667,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
13,392,1013.066667,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
13,392,1013.066667,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
13,392,1013.066667,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
13,392,1013.066667,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
13,392,1013.066667,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
13,392,1013.066667,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
13,392,1013.066667,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
13,392,1013.066667,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
13,392,1013.066667,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
13,392,1013.066667,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
13,392,1013.066667,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
13,392,1013.066667,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
14,422,1014.066667,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14,422,1014.066667,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
14,422,1014.066667,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
14,422,1014.066667,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
14,422,1014.066667,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
14,422,1014.066667,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
14,422,1014.066667,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
14,422,1014.066667,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
14,422,1014.066667,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
14,422,1014.066667,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
14,422,1014.066667,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
14,422,1014.066667,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
14,422,1014.066667,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
15,452,1015.066667,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
15,452,1015.066667,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
15,452,1015.066667,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
15,452,1015.066667,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
15,452,1015.066667,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
15,452,1015.066667,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
15,452,1015.066667,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
15,452,1015.066667,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
15,452,1015.066667,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
15,452,1015.066667,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
15,452,1015.066667,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
15,452,1015.066667,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
15,452,1015.066667,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
15,452,1015.066667,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
16,483,1016.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
16,483,1016.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
16,483,1016.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
16,483,1016.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
16,483,1016.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
16,483,1016.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
16,483,1016.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
16,483,1016.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
16,483,1016.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
16,483,1016.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
16,483,1016.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
16,483,1016.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
16,483,1016.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
16,483,1016.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
16,483,1016.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
17,513,1017.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
17,513,1017.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
17,513,1017.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
17,513,1017.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
17,513,1017.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
17,513,1017.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
17,513,1017.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
17,513,1017.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
17,513,1017.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
17,513,1017.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
17,513,1017.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
17,513,1017.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
17,513,1017.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
17,513,1017.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
17,513,1017.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
17,513,1017.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
18,543,1018.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
18,543,1018.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
18,543,1018.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
18,543,1018.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
18,543,1018.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
18,543,1018.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
18,543,1018.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
18,543,1018.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
18,543,1018.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
18,543,1018.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
18,543,1018.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
18,543,1018.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
18,543,1018.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
18,543,1018.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
18,543,1018.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
18,543,1018.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
18,543,1018.100000,19,0,0.385473,0.125006,2.251667,0.001576,0.050299,-0.003957,0.998725
19,573,1019.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
19,573,1019.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
19,573,1019.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
19,573,1019.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
19,573,1019.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
19,573,1019.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
19,573,1019.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
19,573,1019.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
19,573,1019.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
19,573,1019.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
19,573,1019.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
19,573,1019.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
19,573,1019.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
19,573,1019.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
19,573,1019.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
19,573,1019.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
19,573,1019.100000,19,0,0.385473,0.125006,2.251667,0.001576,0.050299,-0.003957,0.998725
19,573,1019.100000,20,0,0.391115,0.131281,2.378093,0.000878,0.033808,-0.002460,0.999425
20,603,1020.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
20,603,1020.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
20,603,1020.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
20,603,1020.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
20,603,1020.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
20,603,1020.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
20,603,1020.100000,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
20,603,1020.100000,10,0,0.180029,0.061628,1.033807,-0.001905,0.062414,-0.002853,0.998044
20,603,1020.100000,11,0,0.199169,0.074198,1.190541,-0.001388,0.063727,-0.003624,0.997960
20,603,1020.100000,12,0,0.216076,0.078727,1.309860,-0.001296,0.063019,-0.003433,0.998006
20,603,1020.100000,13,0,0.233692,0.080979,1.458657,-0.000779,0.052790,-0.003082,0.998601
20,603,1020.100000,14,0,0.259439,0.089393,1.597769,-0.000435,0.060985,-0.003958,0.998131
20,603,1020.100000,15,0,0.304158,0.105164,1.729810,0.000524,0.067770,-0.004386,0.997691
20,603,1020.100000,16,0,0.328611,0.111615,1.852574,0.001547,0.072448,-0.004951,0.997359
20,603,1020.100000,17,0,0.357152,0.117268,1.990384,0.002473,0.071013,-0.005208,0.997459
20,603,1020.100000,18,0,0.374303,0.127049,2.111436,0.003337,0.063783,-0.004387,0.997949
20,603,1020.100000,19,0,0.385473,0.125006,2.251667,0.001576,0.050299,-0.003957,0.998725
20,603,1020.100000,20,0,0.391115,0.131281,2.378093,0.000878,0.033808,-0.002460,0.999425
20,603,1020.100000,21,0,0.375497,0.138325,2.516580,0.000851,0.006821,-0.002205,0.999974
21,633,1021.100000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
21,633,1021.100000,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
21,633,1021.100000,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
21,633,1021.100000,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
21,633,1021.100000,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
21,633,1021.100000,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
