#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.331958,0.208667,21.885541,9.463917,9.463917,200.109541
4.374625,0.253958,11.322875,5.194167,5.194167,57.371958
4.592208,0.301167,11.428500,2.422292,2.422292,56.858666
4.593791,0.231625,12.464500,2.829208,2.829208,80.465125
7.743541,0.250000,17.995125,7.315375,7.315375,169.971375
5.637417,0.270916,19.711750,10.895708,10.895708,195.784125
5.304541,0.223875,19.032292,9.478917,9.478917,175.324083
5.920792,0.217917,19.715333,9.899791,9.899791,186.771792
6.364041,0.201875,21.049959,10.260958,10.260958,199.330000
6.780250,0.150916,21.677209,10.707417,10.707417,199.240500
7.166292,0.138875,22.509292,11.517375,11.517375,246.282959
6.224292,0.121125,19.611292,13.151125,13.151125,229.674750
7.991375,0.189041,19.035125,10.367959,10.367959,164.404208
7.623458,0.131667,18.274000,8.738542,8.738542,154.878750
6.470667,0.114708,15.712250,9.345959,9.345959,159.041292
6.758625,0.187542,15.441458,8.913542,8.913542,158.231959
6.535500,0.201750,18.294166,8.990541,8.990541,153.574208
5.689000,0.142875,16.645458,8.231208,8.231208,148.974500
5.160375,0.168833,14.261708,8.498708,8.498708,137.667416
5.184208,0.162584,14.025333,10.264125,10.264125,128.382167
5.085542,0.150833,14.814500,10.064542,10.064542,128.193167
5.213458,0.144625,14.542709,5.523375,5.523375,121.648542
5.301042,0.151458,14.462167,5.157917,5.157917,138.512042
5.465750,0.166125,16.101667,5.310459,5.310459,139.664667
5.749292,0.233917,16.621541,5.136458,5.136458,128.164250
5.453833,0.194500,14.994000,5.658042,5.658042,131.104750
5.331542,0.176750,15.241208,6.716875,6.716875,133.994292
5.525375,0.173125,15.984333,6.300125,6.300125,136.980875
5.855417,0.185833,20.053500,7.099208,7.099208,147.820084
5.578125,0.180667,14.566208,7.500500,7.500500,149.830584
5.325625,0.161708,14.978417,9.166125,9.166125,144.943041
5.499666,0.173667,19.858417,8.431916,8.431916,152.973833
5.909083,0.182208,22.074417,8.698333,8.698333,182.078000
5.914083,0.165667,20.624666,9.801542,9.801542,185.055250
6.826500,0.164125,23.154000,10.567000,10.567000,192.251500
6.519125,0.154083,22.388167,11.752375,11.752375,201.569791
6.948542,0.138042,21.953875,11.738667,11.738667,204.269667
7.732125,0.142709,23.954958,12.254709,12.254709,207.424959
6.982458,0.153208,20.719625,9.740250,9.740250,186.823416
8.444417,0.151417,23.422916,10.814250,10.814250,219.980125
9.419625,0.161792,23.467125,10.163083,10.163083,215.001875
9.690625,0.173084,25.648708,10.498958,10.498958,224.869667
7.002708,0.278250,20.876625,12.042125,12.042125,202.823292
5.530084,0.296125,18.019375,9.992084,9.992084,148.088500
5.642750,0.259542,17.765583,8.518209,8.518209,147.381958
6.001625,0.203334,19.059875,9.321584,9.321584,150.721750
6.169541,0.198250,17.778709,8.732500,8.732500,140.134791
6.224333,0.200083,19.057834,8.978750,8.978750,137.270291
6.189916,0.174667,18.076375,9.608250,9.608250,135.539041
6.782833,0.201917,19.443125,10.601000,10.601000,164.352708
6.833792,0.176542,19.177833,10.982666,10.982666,162.643042
5.600125,0.134500,16.039583,15.715958,15.715958,194.998667
6.978375,0.195667,18.365333,13.870209,13.870209,193.310000
7.042042,0.171333,18.675000,12.901750,12.901750,205.675292
7.662000,0.172792,21.303083,17.781917,17.781917,229.302333
7.155667,0.150667,21.699750,19.708125,19.708125,270.497167
7.371083,0.160458,21.792417,22.064041,22.064041,307.605708
8.991084,0.177833,24.686250,21.198167,21.198167,352.372542
