#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,5.681292,0.000000,0.000000,4.358000,3.368208,0.039584,14.202041
0.000000,0.000000,5.399625,0.000000,0.000000,4.227000,2.807625,0.037500,13.702667
0.000000,0.000000,5.358709,0.000000,0.000000,3.614500,2.529709,0.036584,12.929834
0.000000,0.000000,5.328958,0.000000,0.000000,3.491333,2.463625,0.036166,12.030083
0.000000,0.000000,5.266333,0.000000,0.000000,3.517583,2.674000,0.038916,11.816583
0.000000,0.000000,5.623292,0.000000,0.000000,3.267583,2.626500,0.036667,12.420250
0.000000,0.000000,5.510500,0.000000,0.000000,3.358166,3.300167,0.100333,11.992625
0.000000,0.000000,5.666833,0.000000,0.000000,3.524792,3.205583,0.042792,13.032875
0.000000,0.000000,5.465416,0.000000,0.000000,3.168917,2.958083,0.036750,12.865375
0.000000,0.000000,5.489583,0.000000,0.000000,3.352083,2.725958,0.089416,12.183500
0.000000,0.000000,6.039209,0.000000,0.000000,3.292875,2.973042,0.037750,12.796666
0.000000,0.000000,5.305459,0.000000,0.000000,2.941083,2.635000,0.037125,12.146292
0.000000,0.000000,5.464792,0.000000,0.000000,3.232417,2.324958,0.037208,11.598125
0.000000,0.000000,5.879625,0.000000,0.000000,3.018709,2.712709,0.036291,12.024709
0.000000,0.000000,6.037125,0.000000,0.000000,3.053500,2.601750,0.036333,12.423875
0.000000,0.000000,5.737083,0.000000,0.000000,3.102458,2.632417,0.040167,11.984208
0.000000,0.000000,5.437958,0.000000,0.000000,2.949125,2.526209,0.038459,11.792708
0.000000,0.000000,5.412708,0.000000,0.000000,2.575666,2.495500,0.036125,11.472708
0.000000,0.000000,5.589084,0.000000,0.000000,2.466792,2.488375,0.035917,11.215166
0.000000,0.000000,5.479167,0.000000,0.000000,2.623959,2.541000,0.047959,11.009583
0.000000,0.000000,5.722542,0.000000,0.000000,2.421458,2.311500,0.035500,11.472875
0.000000,0.000000,5.339000,0.000000,0.000000,3.020625,3.050750,0.047417,10.599292
0.000000,0.000000,5.715083,0.000000,0.000000,2.652166,2.493958,0.035958,12.522042
0.000000,0.000000,5.894042,0.000000,0.000000,2.674416,2.636292,0.036750,11.578250
0.000000,0.000000,5.929750,0.000000,0.000000,2.598208,2.314791,0.041375,11.793250
0.000000,0.000000,5.620917,0.000000,0.000000,2.483333,2.622458,0.035917,11.071833
0.000000,0.000000,5.448792,0.000000,0.000000,2.657125,2.501917,0.036584,11.113042
0.000000,0.000000,5.599750,0.000000,0.000000,2.271125,2.271250,0.036084,11.281500
0.000000,0.000000,5.477250,0.000000,0.000000,2.348916,2.524958,0.042666,10.518417
0.000000,0.000000,5.483625,0.000000,0.000000,2.531125,2.607709,0.036834,10.895167
0.000000,0.000000,5.497291,0.000000,0.000000,2.474791,2.409167,0.036625,11.179291
0.000000,0.000000,5.795542,0.000000,0.000000,2.570333,2.453083,0.035833,11.227292
0.000000,0.000000,5.425791,0.000000,0.000000,2.481541,2.663959,0.035375,10.975666
0.000000,0.000000,5.520042,0.000000,0.000000,2.704958,2.631666,0.053792,11.189042
0.000000,0.000000,5.554000,0.000000,0.000000,2.623250,2.671458,0.035417,11.489667
0.000000,0.000000,5.691875,0.000000,0.000000,2.587833,2.527792,0.042333,11.544750
0.000000,0.000000,5.607708,0.000000,0.000000,2.623417,2.632125,0.036792,11.308166
0.000000,0.000000,5.811000,0.000000,0.000000,2.555542,2.523834,0.035792,11.757292
0.000000,0.000000,5.562625,0.000000,0.000000,2.407542,2.513291,0.035375,11.159083
0.000000,0.000000,5.358583,0.000000,0.000000,2.568083,2.346750,0.035458,10.805917
0.000000,0.000000,5.513333,0.000000,0.000000,2.644208,2.662500,0.036375,10.957708
0.000000,0.000000,5.476459,0.000000,0.000000,2.650500,2.502250,0.036083,11.326708
0.000000,0.000000,5.487291,0.000000,0.000000,2.631333,2.452292,0.044792,11.209459
0.000000,0.000000,5.645334,0.000000,0.000000,2.662541,2.685875,0.037083,11.351292
0.000000,0.000000,5.494584,0.000000,0.000000,2.582750,2.383708,0.037000,11.392791
0.000000,0.000000,5.523000,0.000000,0.000000,2.470542,2.311291,0.035667,11.032542
0.000000,0.000000,5.504209,0.000000,0.000000,2.636209,2.471042,0.035666,10.791958
0.000000,0.000000,5.777583,0.000000,0.000000,2.635917,2.415709,0.043958,11.411959
0.000000,0.000000,5.380166,0.000000,0.000000,2.610792,2.258291,0.036083,11.018083
0.000000,0.000000,5.469000,0.000000,0.000000,2.502750,2.283667,0.036583,10.969417
0.000000,0.000000,5.458167,0.000000,0.000000,2.828500,3.055334,0.042083,10.782875
0.000000,0.000000,5.653333,0.000000,0.000000,2.485625,2.493458,0.036625,12.114125
0.000000,0.000000,5.707917,0.000000,0.000000,2.466292,2.634041,0.039791,11.221542
0.000000,0.000000,5.390333,0.000000,0.000000,2.464084,2.619167,0.036500,11.026667
0.000000,0.000000,5.547334,0.000000,0.000000,2.511583,2.574666,0.036250,11.280458
0.000000,0.000000,5.548541,0.000000,0.000000,2.455333,2.584417,0.035541,11.203834
0.000000,0.000000,5.511333,0.000000,0.000000,2.367375,2.641417,0.044125,11.059084
0.000000,0.000000,5.698708,0.000000,0.000000,2.556208,2.703917,0.036125,11.390459
0.000000,0.000000,5.628541,0.000000,0.000000,2.481916,2.521375,0.036500,11.547500
0.000000,0.000000,5.491000,0.000000,0.000000,2.451834,2.501667,0.352042,11.104791
0.000000,0.000000,6.316250,0.000000,0.000000,3.244125,2.892791,0.244833,12.138708
0.000000,0.000000,5.482083,0.000000,0.000000,3.302625,2.822250,0.032541,12.393458
0.000000,0.000000,5.457000,0.000000,0.000000,3.274000,2.653709,0.031291,12.152167
0.000000,0.000000,5.417208,0.000000,0.000000,3.439041,2.506833,0.033542,11.865666
0.000000,0.000000,5.627000,0.000000,0.000000,3.148667,2.637667,0.032334,12.240292
0.000000,0.000000,5.395208,0.000000,0.000000,2.964250,2.537917,0.035500,11.741541
0.000000,0.000000,5.591375,0.000000,0.000000,2.871792,2.640834,0.034375,11.694708
0.000000,0.000000,5.568750,0.000000,0.000000,2.756542,2.318375,0.032042,11.671042
0.000000,0.000000,5.509417,0.000000,0.000000,2.799042,2.404542,0.035584,11.158875
0.000000,0.000000,5.435041,0.000000,0.000000,2.914958,2.466375,0.257625,11.186417
0.000000,0.000000,5.526458,0.000000,0.000000,3.376250,2.401666,0.030250,11.739417
0.000000,0.000000,5.425000,0.000000,0.000000,3.760708,2.800417,0.033959,11.759666
0.000000,0.000000,5.491959,0.000000,0.000000,3.289334,2.702334,0.030750,12.642833
0.000000,0.000000,5.817833,0.000000,0.000000,3.203333,2.758875,0.039792,12.386292
0.000000,0.000000,5.826542,0.000000,0.000000,3.560708,2.811875,0.031000,12.383375
0.000000,0.000000,5.435250,0.000000,0.000000,3.520709,2.786000,0.035541,12.416250
0.000000,0.000000,5.592000,0.000000,0.000000,3.253625,2.600583,0.041750,12.562458
0.000000,0.000000,5.495583,0.000000,0.000000,2.979458,2.718875,0.030375,11.954417
0.000000,0.000000,5.558459,0.000000,0.000000,3.371125,3.130625,0.035125,11.815875
0.000000,0.000000,5.557125,0.000000,0.000000,3.360042,2.582041,0.029916,12.716292
0.000000,0.000000,5.531209,0.000000,0.000000,3.012333,2.252792,0.030625,12.034375
0.000000,0.000000,5.530166,0.000000,0.000000,3.693916,2.798667,0.037042,11.350209
0.000000,0.000000,5.430792,0.000000,0.000000,3.095750,2.517708,0.029542,12.547583
0.000000,0.000000,5.512375,0.000000,0.000000,2.994167,2.461958,0.032500,11.677417
0.000000,0.000000,5.847792,0.000000,0.000000,3.025833,2.674084,0.031333,11.863459
0.000000,0.000000,5.537084,0.000000,0.000000,3.431167,2.708375,0.083333,11.821666
0.000000,0.000000,5.543208,0.000000,0.000000,2.869083,2.688041,0.036959,12.319750
0.000000,0.000000,5.389167,0.000000,0.000000,3.376708,2.837083,0.031083,11.539625
0.000000,0.000000,5.752750,0.000000,0.000000,2.712709,2.508666,0.030458,12.527416
0.000000,0.000000,5.604250,0.000000,0.000000,2.755917,2.378333,0.031667,11.346500
0.000000,0.000000,5.446458,0.000000,0.000000,2.909041,2.266042,0.035000,11.142541
0.000000,0.000000,5.403792,0.000000,0.000000,2.670083,2.466041,0.031292,11.125959
0.000000,0.000000,5.353042,0.000000,0.000000,2.835375,2.640292,0.030125,11.029125
0.000000,0.000000,5.496625,0.000000,0.000000,3.377083,2.737125,0.031459,11.495750
0.000000,0.000000,6.223959,0.000000,0.000000,2.689042,2.450833,0.036417,12.932916
0.000000,0.000000,5.445292,0.000000,0.000000,2.698167,2.310042,0.037917,11.165875
0.000000,0.000000,6.192958,0.000000,0.000000,2.873417,2.390333,0.034583,11.787083
0.000000,0.000000,5.570791,0.000000,0.000000,3.256834,2.584542,0.040292,11.442042
0.000000,0.000000,5.484917,0.000000,0.000000,2.663667,2.335916,0.037500,11.952500
0.000000,0.000000,5.796791,0.000000,0.000000,2.616083,2.481458,0.284500,11.388291
0.000000,0.000000,6.039291,0.000000,0.000000,3.335042,2.943500,0.030583,12.006958
0.000000,0.000000,5.380375,0.000000,0.000000,3.080042,2.836208,0.030750,12.278917
0.000000,0.000000,5.633709,0.000000,0.000000,3.022958,2.606334,0.030708,12.218125
0.000000,0.000000,5.512791,0.000000,0.000000,3.240625,3.073917,0.033375,11.725958
0.000000,0.000000,5.549833,0.000000,0.000000,3.029708,2.480291,0.039875,12.457291
0.000000,0.000000,5.400208,0.000000,0.000000,2.820166,2.596375,0.030917,11.535583
0.000000,0.000000,5.379000,0.000000,0.000000,2.706125,2.682042,0.032083,11.361375
0.000000,0.000000,5.492084,0.000000,0.000000,2.927666,2.492958,0.030917,11.542458
