#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.427500,0.251375,11.430250,3.350417,3.350417,78.781666
4.540000,0.195375,11.148000,5.903875,5.903875,98.543667
5.115625,0.193625,13.080291,7.164167,7.164167,141.892458
5.904625,0.225000,14.564500,7.658083,7.658083,163.640250
6.314792,0.179917,16.532000,8.107750,8.107750,166.340709
7.189250,0.188000,17.471375,9.529375,9.529375,174.289666
5.014208,0.218750,19.063167,9.957000,9.957000,184.718875
6.122958,0.189125,21.207334,10.920083,10.920083,207.125583
6.822416,0.183584,17.104250,11.276917,11.276917,171.168458
6.101292,0.126458,14.725333,9.660333,9.660333,159.800833
5.998625,0.118708,13.980959,10.282625,10.282625,153.987292
5.919792,0.161833,14.202208,10.527708,10.527708,162.667542
5.155750,0.132084,14.512250,12.003500,12.003500,171.049542
5.165875,0.138833,14.841958,10.449042,10.449042,179.575416
4.537792,0.137083,13.127667,10.896000,10.896000,158.391208
4.919375,0.154333,14.586709,10.689666,10.689666,158.022667
5.097500,0.145875,14.101791,10.833500,10.833500,152.512958
5.164209,0.137750,14.274000,7.250208,7.250208,150.523542
5.101875,0.144792,16.076333,7.575416,7.575416,155.426875
5.101209,0.153666,16.476709,8.641667,8.641667,159.103084
5.258750,0.175708,16.700000,8.651666,8.651666,152.972292
5.285583,0.165875,17.780458,8.314542,8.314542,153.613916
5.330625,0.166875,16.910083,9.561541,9.561541,158.066916
5.391000,0.161833,18.697250,9.122416,9.122416,160.368875
5.368417,0.184500,18.443750,9.441583,9.441583,158.555792
5.159875,0.169458,18.228625,9.931625,9.931625,169.037208
5.137333,0.171292,18.765500,11.022458,11.022458,180.681708
5.335459,0.193541,19.314167,11.467709,11.467709,206.445167
5.727250,0.169292,20.769458,11.783500,11.783500,213.221459
6.143750,0.173708,21.680958,13.767375,13.767375,237.811625
6.505750,0.153334,23.961958,13.524041,13.524041,225.232667
7.205792,0.173083,21.512875,10.873916,10.873916,206.183125
7.985917,0.184542,22.107958,11.924459,11.924459,225.518625
8.310042,0.169875,21.803625,11.327250,11.327250,215.993583
8.066291,0.181084,21.270333,12.475958,12.475958,228.490916
5.508333,0.327625,19.283708,12.457083,12.457083,220.007500
5.917166,0.217375,20.850084,12.033875,12.033875,224.297958
5.435250,0.275375,17.809750,11.367000,11.367000,169.295958
5.704500,0.191959,17.725000,11.672250,11.672250,154.687625
5.789917,0.172208,18.394959,12.097292,12.097292,159.958667
5.889125,0.165584,16.461583,12.701000,12.701000,167.702792
6.184667,0.165792,18.145500,12.231209,12.231209,164.756459
6.311458,0.160042,18.477958,12.985458,12.985458,189.498208
6.425375,0.171833,19.615542,14.348459,14.348459,194.828833
6.306667,0.153583,19.031792,14.067042,14.067042,182.507000
7.061458,0.167708,20.236250,15.645792,15.645792,206.426958
7.492541,0.173375,21.488125,15.686333,15.686333,211.794250
7.422084,0.147833,20.284750,19.601833,19.601833,255.632459
7.423167,0.125750,20.768792,21.675042,21.675042,308.249625
8.286667,0.147125,22.326666,23.637292,23.637292,348.426708
9.410875,0.161292,27.212000,24.300500,24.300500,372.385500
